order_id,order_date,customer_id,store_id,channel,status,payment_mode,delivery_days,is_delayed,cancellation_reason,return_reason
ORD-0000048,2024-05-01 10:35:00,C-002316,WF-016,Offline,Delivered,Cash,0,False,,
ORD-0000049,2024-05-01 10:40:00,C-004598,WF-015,Online,Delivered,Net Banking,1,False,,
ORD-0000050,2024-05-01 15:53:00,C-002514,WF-017,Offline,Delivered,Cash,0,False,,
ORD-0000051,2024-05-01 08:30:00,C-000252,WF-030,Online,Delivered,Cash,0,False,,
ORD-0000052,2024-05-01 12:56:00,C-001040,WF-009,Online,Delivered,UPI,0,False,,
ORD-0000053,2024-05-01 08:23:00,C-003341,WF-030,Offline,Delivered,Cash,0,False,,
ORD-0000054,2024-05-01 17:31:00,C-002938,WF-018,Online,Delivered,Cash,1,False,,
ORD-0000055,2024-05-01 10:35:00,C-000735,WF-030,Online,Delivered,Credit Card,1,False,,
ORD-0000056,2024-05-01 16:37:00,C-002378,WF-001,Offline,Delivered,Credit Card,0,False,,
ORD-0000057,2024-05-01 13:21:00,C-004173,WF-006,Offline,Delivered,Cash,0,False,,
ORD-0000058,2024-05-01 14:35:00,C-003525,WF-012,Offline,Delivered,UPI,0,False,,
ORD-0000059,2024-05-01 21:45:00,C-004280,WF-013,Offline,Delivered,UPI,0,False,,
ORD-0000060,2024-05-01 18:20:00,C-003216,WF-018,Offline,Delivered,Cash,0,False,,
ORD-0000061,2024-05-01 13:01:00,C-001438,WF-021,Online,Delivered,Cash,2,False,,
ORD-0000062,2024-05-01 11:58:00,C-004954,WF-029,Offline,Delivered,UPI,0,False,,
ORD-0000063,2024-05-01 12:48:00,C-002096,WF-002,Offline,Delivered,UPI,0,False,,
ORD-0000064,2024-05-02 16:47:00,C-004003,WF-009,Online,Delivered,Cash,1,False,,
ORD-0000065,2024-05-02 08:16:00,C-004861,WF-017,Offline,Delivered,UPI,0,False,,
ORD-0000066,2024-05-02 10:04:00,C-002096,WF-016,Offline,Cancelled,UPI,0,False,Wrong item ordered,
ORD-0000067,2024-05-02 09:06:00,C-004497,WF-010,Online,Delivered,Cash,3,True,,
ORD-0000068,2024-05-02 18:45:00,C-002093,WF-019,Offline,Delivered,Credit Card,0,False,,
ORD-0000069,2024-05-02 08:58:00,C-002860,WF-023,Offline,Delivered,UPI,0,False,,
ORD-0000070,2024-05-02 11:53:00,C-001813,WF-002,Offline,Delivered,Debit Card,0,False,,
ORD-0000071,2024-05-02 13:52:00,C-004631,WF-030,Online,Delivered,UPI,1,False,,
ORD-0000072,2024-05-02 09:30:00,C-003168,WF-006,Online,Delivered,Cash,0,False,,
ORD-0000073,2024-05-02 10:57:00,C-003816,WF-010,Offline,Delivered,UPI,0,False,,
ORD-0000074,2024-05-02 15:57:00,C-001903,WF-021,Online,Delivered,Cash,1,False,,
ORD-0000075,2024-05-02 09:37:00,C-001189,WF-002,Offline,Delivered,UPI,0,False,,
ORD-0000076,2024-05-02 08:47:00,C-002397,WF-018,Online,Delivered,Cash,0,False,,
ORD-0000077,2024-05-02 16:38:00,C-003892,WF-013,Online,Delivered,Credit Card,3,True,,
ORD-0000078,2024-05-02 16:49:00,C-001182,WF-019,Offline,Cancelled,UPI,0,False,Product unavailable,
ORD-0000079,2024-05-02 14:09:00,C-002114,WF-030,Online,Delivered,Net Banking,0,False,,
ORD-0000080,2024-05-02 14:39:00,C-003775,WF-017,Offline,Delivered,Credit Card,0,False,,
ORD-0000081,2024-05-02 11:18:00,C-002310,WF-004,Offline,Delivered,Cash,0,False,,
ORD-0000082,2024-05-02 10:59:00,C-003246,WF-006,Online,Delivered,Debit Card,1,False,,
ORD-0000083,2024-05-02 08:09:00,C-001411,WF-017,Offline,Delivered,Debit Card,0,False,,
ORD-0000084,2024-05-02 15:56:00,C-000433,WF-021,Offline,Delivered,UPI,0,False,,
ORD-0000085,2024-05-02 15:26:00,C-003154,WF-008,Offline,Delivered,UPI,0,False,,
ORD-0000086,2024-05-02 08:22:00,C-000361,WF-030,Online,Delivered,Net Banking,0,False,,
ORD-0000087,2024-05-02 18:51:00,C-001180,WF-028,Online,Delivered,Debit Card,2,False,,
ORD-0000088,2024-05-02 17:04:00,C-002473,WF-008,Offline,Delivered,UPI,0,False,,
ORD-0000089,2024-05-02 10:43:00,C-003724,WF-029,Online,Delivered,Credit Card,2,False,,
ORD-0000090,2024-05-02 14:19:00,C-004575,WF-027,Offline,Delivered,UPI,0,False,,
ORD-0000091,2024-05-02 14:23:00,C-000213,WF-018,Offline,Delivered,Cash,0,False,,
ORD-0000092,2024-05-02 17:58:00,C-004257,WF-001,Offline,Delivered,UPI,0,False,,
ORD-0000093,2024-05-02 14:52:00,C-001782,WF-028,Offline,Delivered,Wallet,0,False,,
ORD-0000094,2024-05-02 22:42:00,C-003406,WF-027,Offline,Delivered,Wallet,0,False,,
ORD-0000095,2024-05-02 13:48:00,C-000360,WF-005,Online,Delivered,Credit Card,0,False,,
ORD-0000096,2024-05-02 08:31:00,C-001876,WF-026,Offline,Delivered,UPI,0,False,,
ORD-0000097,2024-05-02 14:11:00,C-003071,WF-008,Offline,Delivered,UPI,0,False,,
ORD-0000098,2024-05-02 17:59:00,C-004426,WF-028,Online,Delivered,Cash,1,False,,
ORD-0000099,2024-05-02 08:05:00,C-004378,WF-021,Offline,Delivered,Wallet,0,False,,
ORD-0000100,2024-05-02 12:35:00,C-004439,WF-027,Online,Delivered,Credit Card,1,False,,
ORD-0000101,2024-05-02 13:42:00,C-004663,WF-002,Online,Delivered,Net Banking,0,False,,
ORD-0000102,2024-05-02 22:20:00,C-000781,WF-015,Online,Delivered,UPI,1,False,,
ORD-0000103,2024-05-02 13:26:00,C-003634,WF-022,Offline,Delivered,UPI,0,False,,
ORD-0000104,2024-05-02 14:12:00,C-000554,WF-007,Offline,Delivered,UPI,0,False,,
ORD-0000105,2024-05-02 14:03:00,C-003390,WF-008,Offline,Delivered,Debit Card,0,False,,
ORD-0000106,2024-05-02 11:58:00,C-003496,WF-011,Offline,Returned,UPI,0,False,,Expired product
ORD-0000107,2024-05-02 12:36:00,C-002660,WF-004,Offline,Delivered,UPI,0,False,,
ORD-0000108,2024-05-02 19:33:00,C-004779,WF-027,Offline,Delivered,UPI,0,False,,
ORD-0000109,2024-05-02 14:34:00,C-001840,WF-030,Offline,Delivered,Cash,0,False,,
ORD-0000110,2024-05-02 17:53:00,C-004897,WF-012,Offline,Delivered,Credit Card,0,False,,
ORD-0000111,2024-05-02 12:41:00,C-004020,WF-006,Offline,Delivered,Cash,0,False,,
ORD-0000112,2024-05-02 19:08:00,C-001974,WF-010,Offline,Delivered,Cash,0,False,,
ORD-0000113,2024-05-02 10:11:00,C-002573,WF-006,Offline,Delivered,Cash,0,False,,
ORD-0000114,2024-05-02 08:43:00,C-001373,WF-028,Offline,Delivered,Credit Card,0,False,,
ORD-0000115,2024-05-02 16:43:00,C-002683,WF-010,Offline,Delivered,Cash,0,False,,
ORD-0000116,2024-05-02 11:47:00,C-001958,WF-001,Offline,Delivered,UPI,0,False,,
ORD-0000117,2024-05-02 17:22:00,C-002065,WF-018,Offline,Delivered,Wallet,0,False,,
ORD-0000118,2024-05-02 16:05:00,C-000206,WF-010,Online,Delivered,UPI,1,False,,
ORD-0000119,2024-05-02 12:43:00,C-001943,WF-016,Offline,Delivered,UPI,0,False,,
ORD-0000120,2024-05-02 22:01:00,C-001069,WF-026,Offline,Delivered,Cash,0,False,,
ORD-0000121,2024-05-02 17:53:00,C-001443,WF-027,Offline,Delivered,Cash,0,False,,
ORD-0000122,2024-05-02 11:07:00,C-001726,WF-002,Online,Cancelled,Credit Card,0,False,Product unavailable,
ORD-0000123,2024-05-02 09:16:00,C-001451,WF-006,Offline,Delivered,Cash,0,False,,
ORD-0000124,2024-05-02 09:55:00,C-001983,WF-009,Offline,Delivered,Cash,0,False,,
ORD-0000125,2024-05-02 18:59:00,C-003183,WF-015,Offline,Delivered,UPI,0,False,,
ORD-0000126,2024-05-02 12:20:00,C-002694,WF-012,Offline,Delivered,UPI,0,False,,
ORD-0000127,2024-05-03 14:44:00,C-003013,WF-029,Offline,Delivered,Cash,0,False,,
ORD-0000128,2024-05-03 19:55:00,C-002864,WF-028,Offline,Delivered,Cash,0,False,,
ORD-0000129,2024-05-03 17:38:00,C-001897,WF-002,Online,Delivered,Net Banking,3,True,,
ORD-0000130,2024-05-03 20:32:00,C-002657,WF-008,Offline,Delivered,UPI,0,False,,
ORD-0000131,2024-05-03 14:17:00,C-001135,WF-003,Offline,Delivered,Credit Card,0,False,,
ORD-0000132,2024-05-03 17:10:00,C-000169,WF-023,Offline,Delivered,Cash,0,False,,
ORD-0000133,2024-05-03 18:31:00,C-003746,WF-015,Offline,Delivered,Cash,0,False,,
ORD-0000134,2024-05-03 08:19:00,C-000708,WF-028,Online,Delivered,UPI,1,False,,
ORD-0000135,2024-05-03 16:51:00,C-004227,WF-020,Offline,Delivered,UPI,0,False,,
ORD-0000136,2024-05-03 13:26:00,C-003660,WF-020,Offline,Delivered,Cash,0,False,,
ORD-0000137,2024-05-03 14:55:00,C-004488,WF-022,Offline,Delivered,Cash,0,False,,
ORD-0000138,2024-05-03 13:20:00,C-003929,WF-018,Online,Delivered,UPI,0,False,,
ORD-0000139,2024-05-03 10:17:00,C-004856,WF-011,Offline,Returned,Debit Card,0,False,,Wrong item received
ORD-0000140,2024-05-03 15:08:00,C-004062,WF-014,Offline,Delivered,UPI,0,False,,
ORD-0000141,2024-05-03 15:08:00,C-004385,WF-017,Offline,Delivered,Cash,0,False,,
ORD-0000142,2024-05-03 15:33:00,C-003870,WF-004,Online,Delivered,Credit Card,2,False,,
ORD-0000143,2024-05-03 20:05:00,C-002619,WF-019,Offline,Delivered,Cash,0,False,,
ORD-0000144,2024-05-03 11:12:00,C-000765,WF-020,Online,Delivered,Cash,1,False,,
ORD-0000145,2024-05-03 17:15:00,C-004194,WF-024,Offline,Returned,Cash,0,False,,Quality issue
ORD-0000146,2024-05-03 16:36:00,C-003444,WF-017,Online,Delivered,Cash,1,False,,
ORD-0000147,2024-05-03 08:43:00,C-004935,WF-011,Online,Delivered,Credit Card,2,False,,
ORD-0000148,2024-05-03 12:36:00,C-001933,WF-006,Online,Delivered,UPI,3,True,,
ORD-0000149,2024-05-03 18:46:00,C-002250,WF-012,Online,Delivered,UPI,1,False,,
ORD-0000150,2024-05-03 12:13:00,C-004203,WF-002,Online,Delivered,Net Banking,1,False,,
ORD-0000151,2024-05-03 15:01:00,C-003129,WF-009,Offline,Delivered,Cash,0,False,,
ORD-0000152,2024-05-03 19:55:00,C-002561,WF-028,Online,Delivered,Credit Card,0,False,,
ORD-0000153,2024-05-03 21:26:00,C-000998,WF-013,Offline,Delivered,UPI,0,False,,
ORD-0000154,2024-05-03 14:23:00,C-002630,WF-028,Offline,Delivered,UPI,0,False,,
ORD-0000155,2024-05-03 12:11:00,C-000358,WF-021,Offline,Delivered,Cash,0,False,,
ORD-0000156,2024-05-03 09:58:00,C-002940,WF-030,Online,Delivered,UPI,0,False,,
ORD-0000157,2024-05-03 17:51:00,C-000172,WF-013,Online,Delivered,UPI,1,False,,
ORD-0000158,2024-05-03 13:16:00,C-003987,WF-013,Offline,Delivered,UPI,0,False,,
ORD-0000159,2024-05-03 15:44:00,C-004739,WF-014,Offline,Delivered,UPI,0,False,,
ORD-0000160,2024-05-03 15:30:00,C-000113,WF-004,Offline,Delivered,Debit Card,0,False,,
ORD-0000161,2024-05-03 10:04:00,C-001670,WF-004,Online,Delivered,UPI,1,False,,
ORD-0000162,2024-05-03 15:39:00,C-004055,WF-030,Offline,Delivered,Cash,0,False,,
ORD-0000163,2024-05-03 13:43:00,C-003489,WF-007,Online,Delivered,Cash,1,False,,
ORD-0000164,2024-05-03 08:47:00,C-003903,WF-006,Offline,Delivered,UPI,0,False,,
ORD-0000165,2024-05-03 15:48:00,C-001232,WF-006,Online,Delivered,Debit Card,1,False,,
ORD-0000166,2024-05-03 19:11:00,C-002973,WF-010,Offline,Delivered,UPI,0,False,,
ORD-0000167,2024-05-03 21:39:00,C-004819,WF-002,Online,Delivered,UPI,3,True,,
ORD-0000168,2024-05-03 08:11:00,C-000625,WF-009,Offline,Delivered,Cash,0,False,,
ORD-0000169,2024-05-03 12:10:00,C-000349,WF-026,Offline,Delivered,Debit Card,0,False,,
ORD-0000170,2024-05-03 08:58:00,C-000923,WF-008,Offline,Delivered,Credit Card,0,False,,
ORD-0000171,2024-05-03 08:46:00,C-000005,WF-022,Offline,Delivered,UPI,0,False,,
ORD-0000172,2024-05-03 18:24:00,C-002432,WF-006,Offline,Delivered,UPI,0,False,,
ORD-0000173,2024-05-03 11:27:00,C-002225,WF-016,Offline,Delivered,Wallet,0,False,,
ORD-0000174,2024-05-03 15:30:00,C-003284,WF-010,Offline,Delivered,UPI,0,False,,
ORD-0000175,2024-05-03 12:16:00,C-003370,WF-012,Online,Delivered,UPI,1,False,,
ORD-0000176,2024-05-03 10:36:00,C-004016,WF-013,Offline,Delivered,UPI,0,False,,
ORD-0000177,2024-05-03 18:04:00,C-003836,WF-011,Offline,Delivered,Cash,0,False,,
ORD-0000178,2024-05-03 18:59:00,C-004116,WF-017,Online,Delivered,Debit Card,2,False,,
ORD-0000179,2024-05-03 15:54:00,C-001514,WF-002,Offline,Delivered,Cash,0,False,,
ORD-0000180,2024-05-03 09:43:00,C-004120,WF-014,Offline,Delivered,Wallet,0,False,,
ORD-0000181,2024-05-03 11:52:00,C-004045,WF-025,Offline,Delivered,UPI,0,False,,
ORD-0000182,2024-05-03 11:18:00,C-004315,WF-016,Offline,Delivered,UPI,0,False,,
ORD-0000183,2024-05-03 08:02:00,C-004940,WF-024,Offline,Cancelled,Cash,0,False,Product unavailable,
ORD-0000184,2024-05-03 18:11:00,C-000687,WF-027,Online,Delivered,Cash,0,False,,
ORD-0000185,2024-05-03 20:59:00,C-001889,WF-016,Offline,Delivered,Cash,0,False,,
ORD-0000186,2024-05-03 13:31:00,C-004365,WF-030,Offline,Delivered,Cash,0,False,,
ORD-0000187,2024-05-03 12:57:00,C-001540,WF-019,Offline,Cancelled,UPI,0,False,Customer changed mind,
ORD-0000188,2024-05-03 16:00:00,C-003864,WF-024,Offline,Delivered,Credit Card,0,False,,
ORD-0000189,2024-05-03 10:37:00,C-002980,WF-026,Offline,Delivered,UPI,0,False,,
ORD-0000190,2024-05-04 15:57:00,C-001092,WF-008,Offline,Delivered,UPI,0,False,,
ORD-0000191,2024-05-04 19:54:00,C-004986,WF-020,Online,Delivered,UPI,1,False,,
ORD-0000192,2024-05-04 17:44:00,C-004870,WF-030,Online,Delivered,Debit Card,3,True,,
ORD-0000193,2024-05-04 08:58:00,C-001294,WF-018,Online,Delivered,Wallet,0,False,,
ORD-0000194,2024-05-04 16:37:00,C-000432,WF-020,Online,Delivered,Wallet,2,False,,
ORD-0000195,2024-05-04 11:35:00,C-001943,WF-015,Online,Delivered,UPI,0,False,,
ORD-0000196,2024-05-04 11:44:00,C-001316,WF-022,Offline,Delivered,UPI,0,False,,
ORD-0000197,2024-05-04 12:29:00,C-003145,WF-026,Offline,Delivered,Wallet,0,False,,
ORD-0000198,2024-05-04 16:11:00,C-002428,WF-023,Offline,Delivered,UPI,0,False,,
ORD-0000199,2024-05-04 11:08:00,C-002407,WF-007,Offline,Delivered,Cash,0,False,,
ORD-0000200,2024-05-04 13:26:00,C-003220,WF-015,Offline,Delivered,UPI,0,False,,
ORD-0000201,2024-05-04 15:38:00,C-004107,WF-011,Online,Cancelled,Wallet,0,False,Wrong item ordered,
ORD-0000202,2024-05-04 11:29:00,C-003815,WF-010,Offline,Delivered,Cash,0,False,,
ORD-0000203,2024-05-04 14:35:00,C-000511,WF-008,Offline,Delivered,Cash,0,False,,
ORD-0000204,2024-05-04 19:15:00,C-003735,WF-020,Offline,Delivered,Cash,0,False,,
ORD-0000205,2024-05-04 13:09:00,C-000798,WF-002,Online,Delivered,Net Banking,3,True,,
ORD-0000206,2024-05-04 12:48:00,C-001873,WF-004,Online,Delivered,UPI,2,False,,
ORD-0000207,2024-05-04 10:32:00,C-002128,WF-022,Offline,Delivered,UPI,0,False,,
ORD-0000208,2024-05-04 12:21:00,C-002223,WF-015,Online,Delivered,Credit Card,0,False,,
ORD-0000209,2024-05-04 16:57:00,C-000222,WF-011,Online,Delivered,UPI,2,False,,
ORD-0000210,2024-05-04 15:45:00,C-000449,WF-006,Online,Delivered,UPI,4,True,,
ORD-0000211,2024-05-04 12:29:00,C-001895,WF-026,Offline,Delivered,Cash,0,False,,
ORD-0000212,2024-05-04 10:04:00,C-000278,WF-004,Online,Delivered,UPI,0,False,,
ORD-0000213,2024-05-04 16:35:00,C-000510,WF-022,Offline,Delivered,Cash,0,False,,
ORD-0000214,2024-05-04 15:43:00,C-001044,WF-002,Offline,Returned,UPI,0,False,,Damaged product
ORD-0000215,2024-05-04 15:17:00,C-003420,WF-030,Offline,Delivered,Wallet,0,False,,
ORD-0000216,2024-05-04 15:33:00,C-000062,WF-027,Offline,Delivered,UPI,0,False,,
ORD-0000217,2024-05-04 12:09:00,C-004964,WF-020,Online,Delivered,UPI,2,False,,
ORD-0000218,2024-05-04 08:06:00,C-002534,WF-021,Offline,Delivered,Credit Card,0,False,,
ORD-0000219,2024-05-04 15:42:00,C-000089,WF-027,Online,Delivered,Cash,2,False,,
ORD-0000220,2024-05-04 14:26:00,C-003669,WF-004,Offline,Delivered,Wallet,0,False,,
ORD-0000221,2024-05-04 14:21:00,C-001210,WF-020,Online,Delivered,Net Banking,0,False,,
ORD-0000222,2024-05-04 15:57:00,C-001349,WF-014,Offline,Delivered,UPI,0,False,,
ORD-0000223,2024-05-04 12:52:00,C-001933,WF-017,Online,Delivered,Cash,4,True,,
ORD-0000224,2024-05-04 10:57:00,C-003219,WF-010,Offline,Delivered,UPI,0,False,,
ORD-0000225,2024-05-04 12:51:00,C-003670,WF-005,Offline,Cancelled,UPI,0,False,Price issue,
ORD-0000226,2024-05-04 09:55:00,C-000882,WF-010,Offline,Delivered,UPI,0,False,,
ORD-0000227,2024-05-04 08:53:00,C-001541,WF-009,Offline,Cancelled,Debit Card,0,False,Price issue,
ORD-0000228,2024-05-04 08:48:00,C-000769,WF-022,Online,Delivered,Net Banking,0,False,,
ORD-0000229,2024-05-04 10:11:00,C-001627,WF-006,Online,Delivered,UPI,1,False,,
ORD-0000230,2024-05-04 17:31:00,C-000393,WF-028,Offline,Delivered,UPI,0,False,,
ORD-0000231,2024-05-04 13:05:00,C-002610,WF-018,Offline,Delivered,Debit Card,0,False,,
ORD-0000232,2024-05-04 20:20:00,C-001396,WF-009,Offline,Delivered,Cash,0,False,,
ORD-0000233,2024-05-04 11:16:00,C-003602,WF-027,Online,Delivered,Debit Card,2,False,,
ORD-0000234,2024-05-04 10:24:00,C-000658,WF-018,Offline,Delivered,Cash,0,False,,
ORD-0000235,2024-05-04 21:58:00,C-004410,WF-011,Online,Delivered,Cash,2,False,,
ORD-0000236,2024-05-04 15:33:00,C-002596,WF-018,Offline,Delivered,UPI,0,False,,
ORD-0000237,2024-05-04 13:09:00,C-001738,WF-020,Offline,Returned,Debit Card,0,False,,Quality issue
ORD-0000238,2024-05-04 17:31:00,C-004194,WF-025,Offline,Delivered,UPI,0,False,,
ORD-0000239,2024-05-04 12:00:00,C-003772,WF-022,Online,Cancelled,Net Banking,0,False,Product unavailable,
ORD-0000240,2024-05-04 09:33:00,C-000944,WF-004,Online,Delivered,Credit Card,0,False,,
ORD-0000241,2024-05-04 11:04:00,C-001519,WF-013,Online,Delivered,UPI,1,False,,
ORD-0000242,2024-05-04 10:13:00,C-003017,WF-021,Offline,Cancelled,Cash,0,False,Customer changed mind,
ORD-0000243,2024-05-04 08:32:00,C-000924,WF-002,Online,Delivered,Net Banking,2,False,,
ORD-0000244,2024-05-04 08:06:00,C-002018,WF-018,Offline,Delivered,Cash,0,False,,
ORD-0000245,2024-05-04 12:20:00,C-001805,WF-016,Offline,Delivered,UPI,0,False,,
ORD-0000246,2024-05-04 08:36:00,C-000763,WF-003,Offline,Delivered,Credit Card,0,False,,
ORD-0000247,2024-05-04 13:15:00,C-000266,WF-018,Online,Returned,UPI,0,False,,Wrong item received
ORD-0000248,2024-05-04 22:46:00,C-004330,WF-004,Offline,Delivered,Cash,0,False,,
ORD-0000249,2024-05-04 08:05:00,C-000409,WF-014,Offline,Delivered,UPI,0,False,,
ORD-0000250,2024-05-04 19:30:00,C-000315,WF-022,Online,Delivered,Wallet,1,False,,
ORD-0000251,2024-05-04 18:57:00,C-000480,WF-024,Offline,Delivered,UPI,0,False,,
ORD-0000252,2024-05-04 22:33:00,C-004002,WF-002,Offline,Delivered,UPI,0,False,,
ORD-0000253,2024-05-04 15:23:00,C-004212,WF-027,Offline,Returned,UPI,0,False,,Expired product
ORD-0000254,2024-05-04 18:52:00,C-001847,WF-029,Online,Delivered,Cash,1,False,,
ORD-0000255,2024-05-04 11:05:00,C-002094,WF-012,Offline,Delivered,Credit Card,0,False,,
ORD-0000256,2024-05-04 13:37:00,C-004442,WF-011,Offline,Delivered,Cash,0,False,,
ORD-0000257,2024-05-04 18:41:00,C-001332,WF-019,Offline,Cancelled,Cash,0,False,Wrong item ordered,
ORD-0000258,2024-05-04 12:56:00,C-004474,WF-005,Offline,Delivered,Debit Card,0,False,,
ORD-0000259,2024-05-04 16:13:00,C-003791,WF-029,Offline,Cancelled,Cash,0,False,Delivery delay,
ORD-0000260,2024-05-05 16:26:00,C-000810,WF-011,Online,Delivered,Cash,1,False,,
ORD-0000261,2024-05-05 16:22:00,C-003446,WF-006,Online,Delivered,Cash,2,False,,
ORD-0000262,2024-05-05 17:05:00,C-002768,WF-004,Online,Cancelled,Debit Card,0,False,Customer changed mind,
ORD-0000263,2024-05-05 16:08:00,C-004510,WF-012,Offline,Delivered,UPI,0,False,,
ORD-0000264,2024-05-05 13:25:00,C-004205,WF-015,Offline,Delivered,Cash,0,False,,
ORD-0000265,2024-05-05 18:19:00,C-002823,WF-004,Online,Cancelled,Credit Card,0,False,Wrong item ordered,
ORD-0000266,2024-05-05 17:14:00,C-004797,WF-006,Offline,Delivered,Cash,0,False,,
ORD-0000267,2024-05-05 19:30:00,C-000530,WF-028,Offline,Returned,UPI,0,False,,Wrong item received
ORD-0000268,2024-05-05 08:00:00,C-003780,WF-014,Offline,Delivered,Credit Card,0,False,,
ORD-0000269,2024-05-05 08:11:00,C-003111,WF-010,Offline,Delivered,Debit Card,0,False,,
ORD-0000270,2024-05-05 14:21:00,C-002275,WF-014,Offline,Delivered,Wallet,0,False,,
ORD-0000271,2024-05-05 16:38:00,C-004729,WF-014,Offline,Delivered,Wallet,0,False,,
ORD-0000272,2024-05-05 17:14:00,C-001743,WF-015,Offline,Delivered,UPI,0,False,,
ORD-0000273,2024-05-05 14:03:00,C-002893,WF-013,Offline,Delivered,Credit Card,0,False,,
