line_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total,cost_amount,margin_amount
LI-00000146,ORD-0000053,P-00996,1,1282.67,0.0,1282.67,1061.24,221.43
LI-00000147,ORD-0000053,P-00921,1,1335.71,0.0,1335.71,1132.08,203.63
LI-00000148,ORD-0000054,P-00005,1,3996.28,0.0,3996.28,3221.8,774.48
LI-00000149,ORD-0000054,P-00004,2,5627.65,5.0,11255.3,9382.02,1873.28
LI-00000150,ORD-0000054,P-00002,1,3091.15,0.0,3091.15,2495.38,595.77
LI-00000151,ORD-0000055,P-00009,2,6797.11,0.0,13594.22,11072.31,2521.91
LI-00000152,ORD-0000055,P-00001,2,4728.57,0.0,9457.14,7672.16,1784.98
LI-00000153,ORD-0000055,P-00003,3,1321.29,0.0,3963.87,3215.21,748.66
LI-00000154,ORD-0000056,P-00081,1,5705.61,0.0,5705.61,4653.1,1052.51
LI-00000155,ORD-0000056,P-00094,3,3925.08,0.0,11775.24,9468.35,2306.89
LI-00000156,ORD-0000056,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000157,ORD-0000056,P-00077,1,4964.24,0.0,4964.24,4053.42,910.82
LI-00000158,ORD-0000057,P-00651,1,3866.52,0.0,3866.52,2615.18,1251.34
LI-00000159,ORD-0000057,P-00668,1,5164.14,5.0,5164.14,3482.21,1681.93
LI-00000160,ORD-0000057,P-00652,2,6253.99,5.0,12507.98,8246.03,4261.95
LI-00000161,ORD-0000058,P-00429,1,2183.35,0.0,2183.35,1533.29,650.06
LI-00000162,ORD-0000058,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000163,ORD-0000059,P-00001,2,4255.71,10.0,8511.42,7672.16,839.26
LI-00000164,ORD-0000059,P-00001,2,4728.57,0.0,9457.14,7672.16,1784.98
LI-00000165,ORD-0000059,P-00003,1,1321.29,0.0,1321.29,1071.74,249.55
LI-00000166,ORD-0000060,P-00014,1,12188.91,0.0,12188.91,9676.97,2511.94
LI-00000167,ORD-0000060,P-00002,2,3091.15,0.0,6182.3,4990.76,1191.54
LI-00000168,ORD-0000061,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000169,ORD-0000061,P-00421,2,2369.18,0.0,4738.36,3211.48,1526.88
LI-00000170,ORD-0000061,P-00510,2,3726.96,0.0,7453.92,5073.0,2380.92
LI-00000171,ORD-0000061,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000172,ORD-0000061,P-00433,1,2315.32,5.0,2315.32,1640.27,675.05
LI-00000173,ORD-0000061,P-00457,2,1549.99,8.0,3099.98,2302.96,797.02
LI-00000174,ORD-0000062,P-00021,1,8456.6,0.0,8456.6,6683.9,1772.7
LI-00000175,ORD-0000062,P-00001,1,4728.57,0.0,4728.57,3836.08,892.49
LI-00000176,ORD-0000062,P-00651,1,3479.86,10.0,3479.86,2615.18,864.68
LI-00000177,ORD-0000062,P-00002,1,3091.15,0.0,3091.15,2495.38,595.77
LI-00000178,ORD-0000063,P-00004,1,5923.84,0.0,5923.84,4691.01,1232.83
LI-00000179,ORD-0000063,P-00003,1,1255.23,5.0,1255.23,1071.74,183.49
LI-00000180,ORD-0000064,P-00652,1,6583.15,0.0,6583.15,4123.01,2460.14
LI-00000181,ORD-0000064,P-00077,1,4567.1,8.0,4567.1,4053.42,513.68
LI-00000182,ORD-0000064,P-00651,1,3866.52,0.0,3866.52,2615.18,1251.34
LI-00000183,ORD-0000065,P-00457,1,1549.99,8.0,1549.99,1151.48,398.51
LI-00000184,ORD-0000065,P-00550,1,3455.34,0.0,3455.34,2420.44,1034.9
LI-00000185,ORD-0000065,P-00428,1,1310.08,0.0,1310.08,889.29,420.79
LI-00000186,ORD-0000065,P-00509,2,1275.19,0.0,2550.38,1812.75,737.63
LI-00000187,ORD-0000065,P-00530,2,2011.58,0.0,4023.16,2773.95,1249.21
LI-00000188,ORD-0000066,P-00924,1,2343.01,0.0,2343.01,1868.29,474.72
LI-00000189,ORD-0000066,P-00925,2,4214.68,0.0,8429.36,7038.12,1391.24
LI-00000190,ORD-0000067,P-00651,1,3557.19,8.0,3557.19,2615.18,942.01
LI-00000191,ORD-0000067,P-00682,1,9656.32,0.0,9656.32,6492.91,3163.41
LI-00000192,ORD-0000067,P-00061,1,3443.23,0.0,3443.23,2788.9,654.33
LI-00000193,ORD-0000068,P-00809,1,4061.07,0.0,4061.07,2637.6,1423.47
LI-00000194,ORD-0000068,P-00803,1,3253.75,8.0,3253.75,2235.5,1018.25
LI-00000195,ORD-0000068,P-00667,1,6470.83,0.0,6470.83,4179.44,2291.39
LI-00000196,ORD-0000068,P-00802,1,4638.68,0.0,4638.68,2995.56,1643.12
LI-00000197,ORD-0000068,P-00805,1,5029.54,5.0,5029.54,3489.51,1540.03
LI-00000198,ORD-0000069,P-00804,2,9663.26,0.0,19326.52,12259.93,7066.59
LI-00000199,ORD-0000069,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000200,ORD-0000070,P-00140,2,3584.21,0.0,7168.42,5814.9,1353.52
LI-00000201,ORD-0000070,P-00002,1,2843.86,8.0,2843.86,2495.38,348.48
LI-00000202,ORD-0000070,P-00002,1,2936.59,5.0,2936.59,2495.38,441.21
LI-00000203,ORD-0000070,P-00002,1,3091.15,0.0,3091.15,2495.38,595.77
LI-00000204,ORD-0000070,P-00275,1,2860.64,0.0,2860.64,2281.07,579.57
LI-00000205,ORD-0000070,P-00007,2,4482.44,8.0,8964.88,7672.16,1292.72
LI-00000206,ORD-0000071,P-00651,1,3479.86,10.0,3479.86,2615.18,864.68
LI-00000207,ORD-0000072,P-00004,1,5923.84,0.0,5923.84,4691.01,1232.83
LI-00000208,ORD-0000072,P-00002,2,2936.59,5.0,5873.18,4990.76,882.42
LI-00000209,ORD-0000072,P-00057,1,11571.78,0.0,11571.78,9063.4,2508.38
LI-00000210,ORD-0000072,P-00005,1,3996.28,0.0,3996.28,3221.8,774.48
LI-00000211,ORD-0000072,P-00004,1,5923.84,0.0,5923.84,4691.01,1232.83
LI-00000212,ORD-0000073,P-00027,2,4723.94,0.0,9447.88,7583.51,1864.37
LI-00000213,ORD-0000073,P-00043,2,8648.62,5.0,17297.24,14382.4,2914.84
LI-00000214,ORD-0000073,P-00803,1,3536.68,0.0,3536.68,2235.5,1301.18
LI-00000215,ORD-0000074,P-00003,2,1321.29,0.0,2642.58,2143.48,499.1
LI-00000216,ORD-0000074,P-00035,2,4619.81,0.0,9239.62,7221.1,2018.52
LI-00000217,ORD-0000075,P-00809,1,4061.07,0.0,4061.07,2637.6,1423.47
LI-00000218,ORD-0000075,P-00809,2,3736.18,8.0,7472.36,5275.21,2197.15
LI-00000219,ORD-0000075,P-00804,2,9663.26,0.0,19326.52,12259.93,7066.59
LI-00000220,ORD-0000075,P-00801,1,3647.4,0.0,3647.4,2302.61,1344.79
LI-00000221,ORD-0000075,P-00826,1,4255.09,0.0,4255.09,2796.38,1458.71
LI-00000222,ORD-0000075,P-00428,1,1310.08,0.0,1310.08,889.29,420.79
LI-00000223,ORD-0000076,P-00001,2,4728.57,0.0,9457.14,7672.16,1784.98
LI-00000224,ORD-0000076,P-00005,2,3996.28,0.0,7992.56,6443.6,1548.96
LI-00000225,ORD-0000077,P-00003,3,1321.29,0.0,3963.87,3215.21,748.66
LI-00000226,ORD-0000077,P-00921,1,1335.71,0.0,1335.71,1132.08,203.63
LI-00000227,ORD-0000077,P-00801,1,3647.4,0.0,3647.4,2302.61,1344.79
LI-00000228,ORD-0000078,P-00802,2,4638.68,0.0,9277.36,5991.12,3286.24
LI-00000229,ORD-0000078,P-00072,1,4819.01,5.0,4819.01,4082.96,736.05
LI-00000230,ORD-0000078,P-00801,1,3647.4,0.0,3647.4,2302.61,1344.79
LI-00000231,ORD-0000079,P-00003,1,1215.59,8.0,1215.59,1071.74,143.85
LI-00000232,ORD-0000080,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000233,ORD-0000080,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000234,ORD-0000080,P-00922,1,1642.23,0.0,1642.23,1361.17,281.06
LI-00000235,ORD-0000081,P-00006,2,4778.59,0.0,9557.18,7744.42,1812.76
LI-00000236,ORD-0000082,P-00476,1,1929.88,0.0,1929.88,1334.11,595.77
LI-00000237,ORD-0000083,P-00923,2,1445.18,0.0,2890.36,2289.08,601.28
LI-00000238,ORD-0000083,P-00953,1,3213.43,0.0,3213.43,2509.44,703.99
LI-00000239,ORD-0000083,P-00924,1,2343.01,0.0,2343.01,1868.29,474.72
LI-00000240,ORD-0000084,P-00002,1,3091.15,0.0,3091.15,2495.38,595.77
LI-00000241,ORD-0000084,P-00187,1,2302.43,0.0,2302.43,1839.99,462.44
LI-00000242,ORD-0000084,P-00001,2,4728.57,0.0,9457.14,7672.16,1784.98
LI-00000243,ORD-0000085,P-00801,2,3647.4,0.0,7294.8,4605.22,2689.58
LI-00000244,ORD-0000085,P-00805,1,5294.25,0.0,5294.25,3489.51,1804.74
LI-00000245,ORD-0000085,P-00801,1,3647.4,0.0,3647.4,2302.61,1344.79
LI-00000246,ORD-0000086,P-00001,1,4728.57,0.0,4728.57,3836.08,892.49
LI-00000247,ORD-0000086,P-00651,1,3866.52,0.0,3866.52,2615.18,1251.34
LI-00000248,ORD-0000086,P-00422,2,2211.29,0.0,4422.58,3163.06,1259.52
LI-00000249,ORD-0000087,P-00014,1,12188.91,0.0,12188.91,9676.97,2511.94
LI-00000250,ORD-0000087,P-00001,1,4728.57,0.0,4728.57,3836.08,892.49
LI-00000251,ORD-0000087,P-00001,2,4728.57,0.0,9457.14,7672.16,1784.98
LI-00000252,ORD-0000087,P-00033,1,24526.44,0.0,24526.44,19440.63,5085.81
LI-00000253,ORD-0000087,P-00286,1,9456.78,0.0,9456.78,7617.15,1839.63
LI-00000254,ORD-0000088,P-00011,2,4237.65,0.0,8475.3,6645.45,1829.85
LI-00000255,ORD-0000088,P-00046,1,9827.38,0.0,9827.38,7780.91,2046.47
LI-00000256,ORD-0000088,P-00002,1,3091.15,0.0,3091.15,2495.38,595.77
LI-00000257,ORD-0000088,P-00004,1,5923.84,0.0,5923.84,4691.01,1232.83
LI-00000258,ORD-0000089,P-00926,1,936.28,0.0,936.28,734.96,201.32
LI-00000259,ORD-0000090,P-00020,1,7216.65,0.0,7216.65,5803.69,1412.96
LI-00000260,ORD-0000090,P-00014,3,12188.91,0.0,36566.73,29030.91,7535.82
LI-00000261,ORD-0000091,P-00751,1,4847.65,0.0,4847.65,3137.61,1710.04
LI-00000262,ORD-0000091,P-00651,1,3866.52,0.0,3866.52,2615.18,1251.34
LI-00000263,ORD-0000092,P-00669,1,11673.95,0.0,11673.95,7385.4,4288.55
LI-00000264,ORD-0000092,P-00682,1,9656.32,0.0,9656.32,6492.91,3163.41
LI-00000265,ORD-0000092,P-00429,1,2183.35,0.0,2183.35,1533.29,650.06
LI-00000266,ORD-0000092,P-00769,2,6998.96,0.0,13997.92,8902.14,5095.78
LI-00000267,ORD-0000092,P-00922,2,1642.23,0.0,3284.46,2722.33,562.13
LI-00000268,ORD-0000093,P-00003,1,1321.29,0.0,1321.29,1071.74,249.55
LI-00000269,ORD-0000093,P-00006,3,4778.59,0.0,14335.77,11616.64,2719.13
LI-00000270,ORD-0000093,P-00436,1,1382.17,0.0,1382.17,924.35,457.82
LI-00000271,ORD-0000094,P-00004,2,5923.84,0.0,11847.68,9382.02,2465.66
LI-00000272,ORD-0000094,P-00009,1,6797.11,0.0,6797.11,5536.16,1260.95
LI-00000273,ORD-0000095,P-00147,3,2195.81,0.0,6587.43,5170.19,1417.24
LI-00000274,ORD-0000095,P-00001,1,4728.57,0.0,4728.57,3836.08,892.49
LI-00000275,ORD-0000095,P-00001,1,4728.57,0.0,4728.57,3836.08,892.49
LI-00000276,ORD-0000096,P-00002,1,3091.15,0.0,3091.15,2495.38,595.77
LI-00000277,ORD-0000097,P-00801,1,3647.4,0.0,3647.4,2302.61,1344.79
LI-00000278,ORD-0000097,P-00810,1,4300.48,0.0,4300.48,2964.77,1335.71
LI-00000279,ORD-0000098,P-00855,1,4513.55,8.0,4513.55,3292.82,1220.73
LI-00000280,ORD-0000098,P-00811,1,4303.86,0.0,4303.86,2953.55,1350.31
LI-00000281,ORD-0000099,P-00003,2,1321.29,0.0,2642.58,2143.48,499.1
LI-00000282,ORD-0000100,P-00751,2,4847.65,0.0,9695.3,6275.21,3420.09
LI-00000283,ORD-0000101,P-00422,1,2100.73,5.0,2100.73,1581.53,519.2
LI-00000284,ORD-0000101,P-00423,1,4537.13,8.0,4537.13,3327.0,1210.13
LI-00000285,ORD-0000101,P-00657,1,12340.41,5.0,12340.41,8816.34,3524.07
LI-00000286,ORD-0000102,P-00801,1,3465.03,5.0,3465.03,2302.61,1162.42
LI-00000287,ORD-0000102,P-00801,1,3647.4,0.0,3647.4,2302.61,1344.79
LI-00000288,ORD-0000102,P-00802,2,4638.68,0.0,9277.36,5991.12,3286.24
LI-00000289,ORD-0000102,P-00844,1,2701.86,0.0,2701.86,1845.86,856.0
LI-00000290,ORD-0000102,P-00802,1,4638.68,0.0,4638.68,2995.56,1643.12
LI-00000291,ORD-0000103,P-00421,2,2250.72,5.0,4501.44,3211.48,1289.96
LI-00000292,ORD-0000104,P-00801,1,3647.4,0.0,3647.4,2302.61,1344.79
LI-00000293,ORD-0000104,P-00875,1,4034.73,0.0,4034.73,2595.95,1438.78
LI-00000294,ORD-0000104,P-00827,1,4600.23,0.0,4600.23,2942.52,1657.71
LI-00000295,ORD-0000104,P-00006,2,4778.59,0.0,9557.18,7744.42,1812.76
LI-00000296,ORD-0000105,P-00655,3,2288.71,8.0,6866.13,4738.18,2127.95
LI-00000297,ORD-0000105,P-00656,1,4208.63,0.0,4208.63,2717.17,1491.46
LI-00000298,ORD-0000106,P-00064,1,3749.21,0.0,3749.21,2978.47,770.74
LI-00000299,ORD-0000106,P-00115,1,5276.99,0.0,5276.99,4237.29,1039.7
LI-00000300,ORD-0000106,P-00803,1,3536.68,0.0,3536.68,2235.5,1301.18
LI-00000301,ORD-0000107,P-00087,2,5425.44,0.0,10850.88,8819.19,2031.69
LI-00000302,ORD-0000107,P-00444,1,1802.44,5.0,1802.44,1307.23,495.21
LI-00000303,ORD-0000107,P-00005,1,3596.65,10.0,3596.65,3221.8,374.85
LI-00000304,ORD-0000108,P-00421,2,2369.18,0.0,4738.36,3211.48,1526.88
LI-00000305,ORD-0000109,P-00801,1,3647.4,0.0,3647.4,2302.61,1344.79
