product_id,product_name,brand,category,sub_type,therapeutic_area,is_generic,mrp,cost_price,margin_pct,requires_prescription,is_scheduled
P-00016,Abbott India Syrup 47,Abbott India,Rx Medicines,Syrup,Cardiac,False,193.93,157.13,19.0,True,False
P-00017,Alkem Capsule 838,Alkem,Rx Medicines,Capsule,Anti-diabetic,False,245.29,199.22,18.8,True,False
P-00018,Lupin Syrup 167,Lupin,Rx Medicines,Syrup,Anti-diabetic,False,1091.03,851.24,22.0,True,False
P-00019,Torrent Pharma Syrup 108,Torrent Pharma,Rx Medicines,Syrup,Gastrointestinal,False,263.15,205.61,21.9,True,False
P-00020,Generic Cipla Syrup 575,Cipla,Rx Medicines,Syrup,Neurological,True,405.43,326.05,19.6,True,False
P-00021,Generic Alkem Suspension 938,Alkem,Rx Medicines,Suspension,Anti-viral,True,475.09,375.5,21.0,True,True
P-00022,Generic Hetero Inhaler 827,Hetero,Rx Medicines,Inhaler,Respiratory,True,287.28,230.75,19.7,True,False
P-00023,Generic Biocon Gel 409,Biocon,Rx Medicines,Gel,Anti-inflammatory,True,372.5,294.99,20.8,True,True
P-00024,Generic Aurobindo Capsule 60,Aurobindo,Rx Medicines,Capsule,Respiratory,True,494.02,391.82,20.7,True,False
P-00025,Generic Intas Injection 62,Intas,Rx Medicines,Injection,Anti-viral,True,179.15,143.16,20.1,True,False
P-00026,Abbott India Ointment 893,Abbott India,Rx Medicines,Ointment,Cardiac,False,236.84,193.72,18.2,True,False
P-00027,Generic Dr. Reddys Inhaler 67,Dr. Reddys,Rx Medicines,Inhaler,Vitamin/Supplement,True,265.39,213.02,19.7,True,True
P-00028,Zydus Gel 917,Zydus,Rx Medicines,Gel,Respiratory,False,219.57,176.29,19.7,True,False
P-00029,Generic Cipla Capsule 281,Cipla,Rx Medicines,Capsule,Cardiac,True,449.21,363.32,19.1,True,False
P-00030,Zydus Drops 665,Zydus,Rx Medicines,Drops,Antibiotic,False,527.42,427.26,19.0,True,True
P-00031,Generic Natco Ointment 227,Natco,Rx Medicines,Ointment,Pain Management,True,349.57,280.02,19.9,True,False
P-00032,Generic Mankind Injection 771,Mankind,Rx Medicines,Injection,Pain Management,True,412.45,327.49,20.6,True,False
P-00033,Generic Zydus Injection 25,Zydus,Rx Medicines,Injection,Anti-viral,True,1377.89,1092.17,20.7,True,True
P-00034,Sun Pharma Tablet 917,Sun Pharma,Rx Medicines,Tablet,Hormonal,False,292.03,230.11,21.2,True,False
P-00035,Cipla Tablet 851,Cipla,Rx Medicines,Tablet,Hormonal,False,259.54,202.84,21.8,True,False
P-00036,Generic Biocon Capsule 858,Biocon,Rx Medicines,Capsule,Anti-hypertensive,True,375.76,297.86,20.7,True,False
P-00037,Generic Cadila Gel 502,Cadila,Rx Medicines,Gel,Antibiotic,True,205.14,162.5,20.8,True,False
P-00038,Lupin Powder 878,Lupin,Rx Medicines,Powder,Neurological,False,234.4,187.07,20.2,True,False
P-00039,Dr. Reddys Tablet 199,Dr. Reddys,Rx Medicines,Tablet,Anti-inflammatory,False,530.4,427.7,19.4,True,False
P-00040,Abbott India Tablet 882,Abbott India,Rx Medicines,Tablet,Respiratory,False,208.31,164.53,21.0,True,False
P-00041,Intas Injection 454,Intas,Rx Medicines,Injection,Cardiac,False,208.51,170.53,18.2,True,False
P-00042,Generic Abbott India Powder 573,Abbott India,Rx Medicines,Powder,Pain Management,True,241.2,191.25,20.7,True,False
P-00043,Generic Aurobindo Ointment 160,Aurobindo,Rx Medicines,Ointment,Anti-allergic,True,511.45,404.0,21.0,True,False
P-00044,Mankind Ointment 643,Mankind,Rx Medicines,Ointment,Respiratory,False,153.92,120.08,22.0,True,False
P-00045,Ipca Capsule 528,Ipca,Rx Medicines,Capsule,Neurological,False,380.59,310.54,18.4,True,False
P-00046,Alkem Gel 526,Alkem,Rx Medicines,Gel,Hormonal,False,552.1,437.13,20.8,True,False
P-00047,Torrent Pharma Syrup 226,Torrent Pharma,Rx Medicines,Syrup,Vitamin/Supplement,False,498.68,390.02,21.8,True,False
P-00048,Lupin Drops 191,Lupin,Rx Medicines,Drops,Antibiotic,False,220.54,173.99,21.1,True,False
P-00049,Generic Cadila Gel 67,Cadila,Rx Medicines,Gel,Pain Management,True,240.72,192.88,19.9,True,False
P-00050,Alkem Powder 199,Alkem,Rx Medicines,Powder,Antibiotic,False,279.36,222.56,20.3,True,False
P-00051,Intas Powder 182,Intas,Rx Medicines,Powder,Cardiac,False,552.36,431.33,21.9,True,True
P-00052,Hetero Drops 236,Hetero,Rx Medicines,Drops,Anti-allergic,False,242.65,198.26,18.3,True,False
P-00053,Generic Macleods Powder 665,Macleods,Rx Medicines,Powder,Anti-viral,True,821.7,654.59,20.3,True,False
P-00054,Ipca Gel 417,Ipca,Rx Medicines,Gel,Dermatological,False,190.78,153.43,19.6,True,False
P-00055,Generic Alkem Gel 878,Alkem,Rx Medicines,Gel,Musculoskeletal,True,142.39,115.25,19.1,True,False
P-00056,Generic Intas Powder 761,Intas,Rx Medicines,Powder,Anti-inflammatory,True,211.79,168.56,20.4,True,True
P-00057,Natco Syrup 19,Natco,Rx Medicines,Syrup,Anti-hypertensive,False,650.1,509.18,21.7,True,False
P-00058,Generic Macleods Ointment 155,Macleods,Rx Medicines,Ointment,Anti-diabetic,True,117.88,93.0,21.1,True,False
P-00059,Intas Ointment 394,Intas,Rx Medicines,Ointment,Neurological,False,264.41,212.43,19.7,True,True
P-00060,Torrent Pharma Tablet 446,Torrent Pharma,Rx Medicines,Tablet,Gastrointestinal,False,519.93,405.62,22.0,True,False
P-00061,Zydus Gel 694,Zydus,Rx Medicines,Gel,Anti-diabetic,False,193.44,156.68,19.0,True,False
P-00062,Cipla Tablet 81,Cipla,Rx Medicines,Tablet,Anti-hypertensive,False,202.38,163.05,19.4,True,True
P-00063,Sun Pharma Drops 743,Sun Pharma,Rx Medicines,Drops,Hormonal,False,447.34,349.5,21.9,True,False
P-00064,Intas Inhaler 84,Intas,Rx Medicines,Inhaler,Gastrointestinal,False,210.63,167.33,20.6,True,False
P-00065,Torrent Pharma Capsule 317,Torrent Pharma,Rx Medicines,Capsule,Anti-hypertensive,False,422.62,345.01,18.4,True,False
P-00066,Cipla Suspension 572,Cipla,Rx Medicines,Suspension,Pain Management,False,781.34,621.26,20.5,True,False
P-00067,Lupin Gel 135,Lupin,Rx Medicines,Gel,Musculoskeletal,False,298.51,240.63,19.4,True,False
P-00068,Hetero Syrup 104,Hetero,Rx Medicines,Syrup,Respiratory,False,220.11,179.36,18.5,True,False
P-00069,Generic Hetero Suspension 102,Hetero,Rx Medicines,Suspension,Anti-inflammatory,True,406.86,325.91,19.9,True,False
P-00070,Generic Zydus Capsule 847,Zydus,Rx Medicines,Capsule,Vitamin/Supplement,True,242.12,198.23,18.1,True,True
P-00071,Glenmark Gel 258,Glenmark,Rx Medicines,Gel,Anti-diabetic,False,747.81,612.03,18.2,True,False
P-00072,Aurobindo Suspension 346,Aurobindo,Rx Medicines,Suspension,Anti-viral,False,284.98,229.38,19.5,True,False
P-00073,Cipla Suspension 535,Cipla,Rx Medicines,Suspension,Vitamin/Supplement,False,283.35,221.87,21.7,True,False
P-00074,Natco Suspension 321,Natco,Rx Medicines,Suspension,Musculoskeletal,False,327.87,268.37,18.1,True,True
P-00075,Dr. Reddys Inhaler 640,Dr. Reddys,Rx Medicines,Inhaler,Anti-viral,False,156.01,127.27,18.4,True,False
P-00076,Generic Cadila Inhaler 135,Cadila,Rx Medicines,Inhaler,Respiratory,True,122.15,99.73,18.4,True,True
P-00077,Intas Injection 120,Intas,Rx Medicines,Injection,Musculoskeletal,False,278.89,227.72,18.3,True,False
P-00078,Aurobindo Suspension 434,Aurobindo,Rx Medicines,Suspension,Anti-allergic,False,586.85,478.22,18.5,True,False
P-00079,Sun Pharma Suspension 719,Sun Pharma,Rx Medicines,Suspension,Cardiac,False,139.14,113.53,18.4,True,False
P-00080,Hetero Injection 616,Hetero,Rx Medicines,Injection,Pain Management,False,371.03,300.01,19.1,True,True
P-00081,Generic Glenmark Inhaler 331,Glenmark,Rx Medicines,Inhaler,Anti-viral,True,320.54,261.41,18.4,True,False
P-00082,Generic Ipca Injection 513,Ipca,Rx Medicines,Injection,Cardiac,True,273.05,221.08,19.0,True,False
P-00083,Sun Pharma Suspension 796,Sun Pharma,Rx Medicines,Suspension,Vitamin/Supplement,False,201.03,162.24,19.3,True,True
P-00084,Intas Tablet 148,Intas,Rx Medicines,Tablet,Cardiac,False,372.44,296.74,20.3,True,False
P-00085,Generic Biocon Syrup 907,Biocon,Rx Medicines,Syrup,Anti-hypertensive,True,787.07,628.12,20.2,True,False
P-00086,Generic Sun Pharma Injection 786,Sun Pharma,Rx Medicines,Injection,Gastrointestinal,True,105.88,86.81,18.0,True,False
P-00087,Torrent Pharma Inhaler 556,Torrent Pharma,Rx Medicines,Inhaler,Anti-viral,False,304.8,247.73,18.7,True,False
P-00088,Alkem Powder 734,Alkem,Rx Medicines,Powder,Anti-allergic,False,292.8,238.18,18.7,True,True
P-00089,Natco Gel 304,Natco,Rx Medicines,Gel,Neurological,False,244.62,192.6,21.3,True,False
P-00090,Torrent Pharma Tablet 154,Torrent Pharma,Rx Medicines,Tablet,Anti-viral,False,449.71,358.37,20.3,True,False
P-00091,Sun Pharma Ointment 188,Sun Pharma,Rx Medicines,Ointment,Antibiotic,False,89.14,71.91,19.3,True,False
P-00092,Aurobindo Tablet 166,Aurobindo,Rx Medicines,Tablet,Respiratory,False,573.08,456.79,20.3,True,True
P-00093,Cipla Ointment 644,Cipla,Rx Medicines,Ointment,Anti-diabetic,False,290.2,229.11,21.0,True,False
P-00094,Torrent Pharma Injection 166,Torrent Pharma,Rx Medicines,Injection,Anti-inflammatory,False,220.51,177.31,19.6,True,False
P-00095,Aurobindo Injection 803,Aurobindo,Rx Medicines,Injection,Anti-hypertensive,False,283.84,226.33,20.3,True,False
P-00096,Generic Zydus Injection 143,Zydus,Rx Medicines,Injection,Musculoskeletal,True,261.71,211.02,19.4,True,False
P-00097,Aurobindo Gel 692,Aurobindo,Rx Medicines,Gel,Anti-allergic,False,244.78,193.61,20.9,True,False
P-00098,Lupin Injection 115,Lupin,Rx Medicines,Injection,Gastrointestinal,False,224.72,177.91,20.8,True,False
P-00099,Generic Glenmark Drops 631,Glenmark,Rx Medicines,Drops,Pain Management,True,170.71,133.26,21.9,True,True
P-00100,Cipla Drops 440,Cipla,Rx Medicines,Drops,Dermatological,False,262.93,209.21,20.4,True,True
P-00101,Glenmark Gel 611,Glenmark,Rx Medicines,Gel,Gastrointestinal,False,177.18,142.35,19.7,True,False
P-00102,Generic Sun Pharma Inhaler 649,Sun Pharma,Rx Medicines,Inhaler,Anti-hypertensive,True,316.66,248.03,21.7,True,False
P-00103,Generic Abbott India Syrup 186,Abbott India,Rx Medicines,Syrup,Neurological,True,72.7,56.95,21.7,True,False
P-00104,Generic Ipca Drops 976,Ipca,Rx Medicines,Drops,Anti-hypertensive,True,272.5,216.22,20.7,True,False
P-00105,Glenmark Tablet 224,Glenmark,Rx Medicines,Tablet,Cardiac,False,1013.81,828.6,18.3,True,False
P-00106,Intas Suspension 184,Intas,Rx Medicines,Suspension,Anti-diabetic,False,288.41,227.55,21.1,True,False
P-00107,Intas Capsule 880,Intas,Rx Medicines,Capsule,Antibiotic,False,235.91,185.31,21.4,True,False
P-00108,Cadila Gel 96,Cadila,Rx Medicines,Gel,Anti-hypertensive,False,232.54,186.88,19.6,True,False
P-00109,Macleods Inhaler 776,Macleods,Rx Medicines,Inhaler,Anti-diabetic,False,124.4,101.03,18.8,True,True
P-00110,Generic Aurobindo Ointment 273,Aurobindo,Rx Medicines,Ointment,Anti-diabetic,True,332.05,264.89,20.2,True,True
P-00111,Natco Suspension 339,Natco,Rx Medicines,Suspension,Anti-inflammatory,False,120.08,98.05,18.3,True,True
P-00112,Hetero Syrup 906,Hetero,Rx Medicines,Syrup,Anti-allergic,False,178.49,141.34,20.8,True,False
P-00113,Ipca Gel 943,Ipca,Rx Medicines,Gel,Antibiotic,False,128.57,102.22,20.5,True,False
P-00114,Glenmark Capsule 863,Glenmark,Rx Medicines,Capsule,Antibiotic,False,379.1,296.48,21.8,True,False
P-00115,Intas Gel 124,Intas,Rx Medicines,Gel,Hormonal,False,296.46,238.05,19.7,True,False
P-00116,Glenmark Suspension 767,Glenmark,Rx Medicines,Suspension,Neurological,False,301.85,244.4,19.0,True,False
P-00117,Generic Natco Injection 155,Natco,Rx Medicines,Injection,Vitamin/Supplement,True,213.77,175.13,18.1,True,False
P-00118,Cadila Injection 162,Cadila,Rx Medicines,Injection,Anti-hypertensive,False,189.74,151.38,20.2,True,False
P-00119,Generic Abbott India Inhaler 830,Abbott India,Rx Medicines,Inhaler,Cardiac,True,318.24,253.31,20.4,True,True
P-00120,Biocon Tablet 567,Biocon,Rx Medicines,Tablet,Anti-allergic,False,457.66,361.17,21.1,True,True
P-00121,Generic Ipca Tablet 196,Ipca,Rx Medicines,Tablet,Anti-inflammatory,True,250.21,196.01,21.7,True,False
P-00122,Dr. Reddys Drops 415,Dr. Reddys,Rx Medicines,Drops,Anti-viral,False,512.13,400.4,21.8,True,False
P-00123,Generic Cipla Gel 516,Cipla,Rx Medicines,Gel,Anti-inflammatory,True,322.65,253.65,21.4,True,False
P-00124,Sun Pharma Powder 305,Sun Pharma,Rx Medicines,Powder,Gastrointestinal,False,243.35,196.19,19.4,True,False
P-00125,Ipca Suspension 26,Ipca,Rx Medicines,Suspension,Respiratory,False,458.36,358.22,21.8,True,False
P-00126,Intas Suspension 736,Intas,Rx Medicines,Suspension,Anti-viral,False,208.0,163.85,21.2,True,False
P-00127,Hetero Drops 886,Hetero,Rx Medicines,Drops,Anti-hypertensive,False,130.52,101.87,22.0,True,False
P-00128,Cadila Inhaler 259,Cadila,Rx Medicines,Inhaler,Musculoskeletal,False,272.01,216.87,20.3,True,False
P-00129,Aurobindo Ointment 944,Aurobindo,Rx Medicines,Ointment,Antibiotic,False,274.52,215.64,21.4,True,False
P-00130,Generic Cadila Inhaler 629,Cadila,Rx Medicines,Inhaler,Anti-viral,True,393.68,317.07,19.5,True,True
P-00131,Sun Pharma Syrup 897,Sun Pharma,Rx Medicines,Syrup,Dermatological,False,98.97,78.89,20.3,True,False
P-00132,Biocon Capsule 903,Biocon,Rx Medicines,Capsule,Vitamin/Supplement,False,147.34,117.19,20.5,True,False
P-00133,Dr. Reddys Gel 748,Dr. Reddys,Rx Medicines,Gel,Hormonal,False,291.76,228.28,21.8,True,True
P-00134,Generic Natco Injection 254,Natco,Rx Medicines,Injection,Anti-diabetic,True,477.01,383.48,19.6,True,False
P-00135,Generic Hetero Suspension 398,Hetero,Rx Medicines,Suspension,Neurological,True,224.09,179.98,19.7,True,False
P-00136,Intas Syrup 333,Intas,Rx Medicines,Syrup,Dermatological,False,579.1,468.21,19.1,True,False
P-00137,Generic Zydus Powder 353,Zydus,Rx Medicines,Powder,Gastrointestinal,True,275.19,221.43,19.5,True,True
P-00138,Generic Zydus Ointment 328,Zydus,Rx Medicines,Ointment,Cardiac,True,314.79,245.76,21.9,True,False
P-00139,Generic Ipca Capsule 319,Ipca,Rx Medicines,Capsule,Anti-inflammatory,True,259.87,204.38,21.4,True,False
P-00140,Generic Biocon Gel 762,Biocon,Rx Medicines,Gel,Neurological,True,201.36,163.34,18.9,True,False
P-00141,Generic Torrent Pharma Ointment 762,Torrent Pharma,Rx Medicines,Ointment,Anti-viral,True,293.85,233.94,20.4,True,True
P-00142,Cadila Syrup 12,Cadila,Rx Medicines,Syrup,Pain Management,False,132.27,103.19,22.0,True,False
P-00143,Torrent Pharma Suspension 626,Torrent Pharma,Rx Medicines,Suspension,Neurological,False,607.01,495.53,18.4,True,False
P-00144,Glenmark Syrup 472,Glenmark,Rx Medicines,Syrup,Anti-allergic,False,687.27,562.59,18.1,True,False
P-00145,Zydus Capsule 697,Zydus,Rx Medicines,Capsule,Anti-viral,False,286.46,223.87,21.8,True,False
P-00146,Generic Zydus Tablet 358,Zydus,Rx Medicines,Tablet,Vitamin/Supplement,True,204.24,163.55,19.9,True,False
P-00147,Dr. Reddys Suspension 156,Dr. Reddys,Rx Medicines,Suspension,Dermatological,False,123.36,96.82,21.5,True,False
P-00148,Generic Cipla Powder 179,Cipla,Rx Medicines,Powder,Vitamin/Supplement,True,352.86,279.5,20.8,True,True
P-00149,Torrent Pharma Inhaler 679,Torrent Pharma,Rx Medicines,Inhaler,Vitamin/Supplement,False,257.55,207.74,19.3,True,False
P-00150,Macleods Injection 304,Macleods,Rx Medicines,Injection,Vitamin/Supplement,False,301.31,240.96,20.0,True,True
P-00151,Biocon Tablet 684,Biocon,Rx Medicines,Tablet,Dermatological,False,408.07,325.8,20.2,True,True
P-00152,Mankind Gel 581,Mankind,Rx Medicines,Gel,Anti-hypertensive,False,142.55,114.94,19.4,True,True
P-00153,Zydus Drops 927,Zydus,Rx Medicines,Drops,Anti-inflammatory,False,255.09,201.95,20.8,True,False
P-00154,Cipla Drops 279,Cipla,Rx Medicines,Drops,Hormonal,False,228.71,179.74,21.4,True,False
P-00155,Abbott India Injection 547,Abbott India,Rx Medicines,Injection,Anti-inflammatory,False,612.5,485.51,20.7,True,True
P-00156,Sun Pharma Injection 280,Sun Pharma,Rx Medicines,Injection,Vitamin/Supplement,False,270.94,212.91,21.4,True,False
P-00157,Ipca Injection 858,Ipca,Rx Medicines,Injection,Anti-viral,False,490.64,396.96,19.1,True,False
P-00158,Aurobindo Ointment 462,Aurobindo,Rx Medicines,Ointment,Cardiac,False,539.19,425.74,21.0,True,False
P-00159,Cipla Gel 801,Cipla,Rx Medicines,Gel,Anti-viral,False,189.55,148.85,21.5,True,False
P-00160,Generic Aurobindo Suspension 318,Aurobindo,Rx Medicines,Suspension,Neurological,True,385.63,302.82,21.5,True,True
P-00161,Natco Capsule 387,Natco,Rx Medicines,Capsule,Antibiotic,False,202.31,158.52,21.6,True,False
P-00162,Generic Natco Powder 245,Natco,Rx Medicines,Powder,Respiratory,True,447.38,364.61,18.5,True,False
P-00163,Generic Glenmark Drops 353,Glenmark,Rx Medicines,Drops,Anti-allergic,True,298.52,241.57,19.1,True,False
P-00164,Generic Biocon Tablet 347,Biocon,Rx Medicines,Tablet,Anti-hypertensive,True,199.19,157.91,20.7,True,False
P-00165,Torrent Pharma Powder 562,Torrent Pharma,Rx Medicines,Powder,Cardiac,False,318.55,251.67,21.0,True,False
P-00166,Natco Drops 945,Natco,Rx Medicines,Drops,Anti-inflammatory,False,354.02,285.4,19.4,True,True
P-00167,Cipla Capsule 927,Cipla,Rx Medicines,Capsule,Neurological,False,244.74,199.92,18.3,True,False
P-00168,Generic Torrent Pharma Inhaler 115,Torrent Pharma,Rx Medicines,Inhaler,Musculoskeletal,True,268.2,211.34,21.2,True,True
P-00169,Intas Suspension 232,Intas,Rx Medicines,Suspension,Antibiotic,False,311.09,247.42,20.5,True,False
P-00170,Macleods Suspension 327,Macleods,Rx Medicines,Suspension,Anti-allergic,False,434.82,342.61,21.2,True,False
P-00171,Mankind Injection 818,Mankind,Rx Medicines,Injection,Cardiac,False,253.61,201.43,20.6,True,True
P-00172,Generic Natco Capsule 546,Natco,Rx Medicines,Capsule,Respiratory,True,541.01,429.56,20.6,True,False
P-00173,Natco Injection 603,Natco,Rx Medicines,Injection,Vitamin/Supplement,False,381.51,305.24,20.0,True,True
P-00174,Zydus Suspension 764,Zydus,Rx Medicines,Suspension,Antibiotic,False,492.48,402.23,18.3,True,False
P-00175,Aurobindo Tablet 413,Aurobindo,Rx Medicines,Tablet,Anti-diabetic,False,341.86,270.17,21.0,True,False
P-00176,Abbott India Injection 617,Abbott India,Rx Medicines,Injection,Anti-hypertensive,False,386.99,303.91,21.5,True,False
P-00177,Sun Pharma Injection 195,Sun Pharma,Rx Medicines,Injection,Anti-hypertensive,False,377.92,294.9,22.0,True,False
P-00178,Abbott India Syrup 746,Abbott India,Rx Medicines,Syrup,Dermatological,False,493.52,388.18,21.3,True,True
P-00179,Alkem Injection 302,Alkem,Rx Medicines,Injection,Respiratory,False,140.05,111.97,20.1,True,False
P-00180,Generic Biocon Powder 23,Biocon,Rx Medicines,Powder,Anti-allergic,True,576.48,463.37,19.6,True,False
P-00181,Generic Sun Pharma Inhaler 270,Sun Pharma,Rx Medicines,Inhaler,Hormonal,True,180.88,142.11,21.4,True,False
P-00182,Alkem Suspension 404,Alkem,Rx Medicines,Suspension,Respiratory,False,124.17,99.57,19.8,True,False
P-00183,Natco Gel 692,Natco,Rx Medicines,Gel,Anti-allergic,False,245.96,199.24,19.0,True,False
P-00184,Ipca Ointment 506,Ipca,Rx Medicines,Ointment,Anti-allergic,False,518.86,415.61,19.9,True,False
P-00185,Generic Aurobindo Drops 10,Aurobindo,Rx Medicines,Drops,Vitamin/Supplement,True,238.41,195.0,18.2,True,True
P-00186,Torrent Pharma Ointment 700,Torrent Pharma,Rx Medicines,Ointment,Gastrointestinal,False,223.47,182.32,18.4,True,True
P-00187,Cadila Injection 928,Cadila,Rx Medicines,Injection,Dermatological,False,129.35,103.37,20.1,True,False
P-00188,Biocon Injection 17,Biocon,Rx Medicines,Injection,Musculoskeletal,False,360.14,284.76,20.9,True,False
P-00189,Cipla Inhaler 320,Cipla,Rx Medicines,Inhaler,Cardiac,False,254.54,201.67,20.8,True,False
P-00190,Generic Ipca Gel 657,Ipca,Rx Medicines,Gel,Anti-hypertensive,True,312.16,248.26,20.5,True,False
P-00191,Intas Suspension 62,Intas,Rx Medicines,Suspension,Anti-inflammatory,False,163.44,129.71,20.6,True,False
P-00192,Generic Glenmark Gel 975,Glenmark,Rx Medicines,Gel,Anti-hypertensive,True,391.11,305.07,22.0,True,False
P-00193,Cipla Powder 333,Cipla,Rx Medicines,Powder,Vitamin/Supplement,False,331.98,262.42,21.0,True,False
P-00194,Torrent Pharma Injection 406,Torrent Pharma,Rx Medicines,Injection,Cardiac,False,573.86,449.87,21.6,True,False
P-00195,Generic Biocon Tablet 720,Biocon,Rx Medicines,Tablet,Cardiac,True,143.24,113.85,20.5,True,False
P-00196,Cipla Tablet 995,Cipla,Rx Medicines,Tablet,Antibiotic,False,501.2,406.43,18.9,True,False
P-00197,Alkem Gel 463,Alkem,Rx Medicines,Gel,Neurological,False,457.45,365.61,20.1,True,False
P-00198,Abbott India Ointment 749,Abbott India,Rx Medicines,Ointment,Gastrointestinal,False,238.02,192.83,19.0,True,False
P-00199,Hetero Inhaler 628,Hetero,Rx Medicines,Inhaler,Anti-hypertensive,False,306.28,241.07,21.3,True,True
P-00200,Aurobindo Ointment 60,Aurobindo,Rx Medicines,Ointment,Neurological,False,695.88,552.4,20.6,True,True
P-00201,Generic Biocon Drops 548,Biocon,Rx Medicines,Drops,Pain Management,True,120.1,97.11,19.1,True,False
P-00202,Generic Dr. Reddys Suspension 11,Dr. Reddys,Rx Medicines,Suspension,Anti-inflammatory,True,266.57,210.94,20.9,True,False
P-00203,Generic Lupin Gel 250,Lupin,Rx Medicines,Gel,Hormonal,True,213.71,172.72,19.2,True,False
P-00204,Cadila Suspension 831,Cadila,Rx Medicines,Suspension,Anti-inflammatory,False,361.97,295.56,18.3,True,False
P-00205,Generic Biocon Gel 914,Biocon,Rx Medicines,Gel,Vitamin/Supplement,True,511.77,401.55,21.5,True,False
P-00206,Generic Aurobindo Gel 593,Aurobindo,Rx Medicines,Gel,Neurological,True,339.26,266.8,21.4,True,False
P-00207,Generic Intas Gel 211,Intas,Rx Medicines,Gel,Anti-inflammatory,True,418.32,335.93,19.7,True,False
P-00208,Lupin Gel 570,Lupin,Rx Medicines,Gel,Anti-hypertensive,False,211.57,172.19,18.6,True,False
P-00209,Generic Sun Pharma Tablet 464,Sun Pharma,Rx Medicines,Tablet,Anti-diabetic,True,212.95,172.66,18.9,True,False
P-00210,Cadila Powder 930,Cadila,Rx Medicines,Powder,Vitamin/Supplement,False,175.2,143.25,18.2,True,False
P-00211,Dr. Reddys Inhaler 468,Dr. Reddys,Rx Medicines,Inhaler,Antibiotic,False,110.02,87.03,20.9,True,False
P-00212,Natco Syrup 176,Natco,Rx Medicines,Syrup,Cardiac,False,104.35,83.15,20.3,True,False
P-00213,Lupin Suspension 434,Lupin,Rx Medicines,Suspension,Anti-inflammatory,False,209.34,169.76,18.9,True,False
P-00214,Biocon Tablet 548,Biocon,Rx Medicines,Tablet,Anti-allergic,False,168.58,132.84,21.2,True,False
P-00215,Alkem Drops 847,Alkem,Rx Medicines,Drops,Antibiotic,False,103.33,83.35,19.3,True,True
P-00216,Abbott India Capsule 807,Abbott India,Rx Medicines,Capsule,Antibiotic,False,337.59,266.96,20.9,True,False
P-00217,Abbott India Gel 627,Abbott India,Rx Medicines,Gel,Vitamin/Supplement,False,539.37,438.61,18.7,True,True
P-00218,Generic Hetero Tablet 665,Hetero,Rx Medicines,Tablet,Dermatological,True,396.23,312.3,21.2,True,False
P-00219,Alkem Drops 93,Alkem,Rx Medicines,Drops,Dermatological,False,192.12,152.38,20.7,True,False
P-00220,Macleods Suspension 469,Macleods,Rx Medicines,Suspension,Anti-diabetic,False,415.49,330.59,20.4,True,False
P-00221,Generic Sun Pharma Injection 770,Sun Pharma,Rx Medicines,Injection,Anti-hypertensive,True,157.03,126.59,19.4,True,False
P-00222,Ipca Syrup 475,Ipca,Rx Medicines,Syrup,Respiratory,False,129.78,101.53,21.8,True,False
P-00223,Dr. Reddys Drops 570,Dr. Reddys,Rx Medicines,Drops,Cardiac,False,103.32,82.65,20.0,True,True
P-00224,Macleods Syrup 143,Macleods,Rx Medicines,Syrup,Musculoskeletal,False,514.89,404.33,21.5,True,True
P-00225,Mankind Injection 475,Mankind,Rx Medicines,Injection,Anti-viral,False,154.6,122.47,20.8,True,False
